gene,mars_delta,mars_se,iss_delta,iss_se,mars_over_iss
PAX9,5.49551338481119,84.12227663554317,0.25778537010267466,2.3965968021515565,21.31817403998665
IRX2,57.5679900278256,249.5939438873956,-3.6158082049914246,7.110792428365963,-15.921195695157767
COL1A1,-1.1686330741948652,79.78846866624714,-0.4770712827341244,2.2731290271963873,2.4495984488887244
ITGA3,-7.418441718604329,52.9394536499104,0.018379102514272327,1.5082155452675783,-403.6346014634569
SGCA,26.120001057570448,120.39092603088216,-0.2179570250153937,3.429870420456123,-119.84014305446527
DLX3,7.243425001078535,124.50816787811155,0.05281131363448788,3.547168347228891,137.1566905381481
FOXM1,10.45324728331271,92.66693574670855,1.0317936668577596,2.6400293805399713,10.131141156494195
ITFG2,74.87842227201432,42.803044405786984,0.871180143115422,1.2194348922544205,85.95056127455115
NRIP2,6.266071633805325,68.1428554220153,-0.2820513621144619,1.9413519929021505,-22.21606584995832
TULP3,-12.582379562772694,34.68687261957335,-0.16885598088612408,0.9882096790707133,74.51545095851955
GTF2H4,-10.0432075677297,35.45747256752148,0.23350150832589783,1.0101636423353058,-43.01131774152142
TUBB5,-10.10244155452288,17.562838791276455,0.15407270600272122,0.500355494017767,-65.56931345350975
ELL2,5.044240095934638,33.88895242773427,-0.5054326841332937,0.9654773772760453,-9.980043345602798
JUP,23.90263594619873,21.770661606650467,0.49592037917595955,0.6202340221160532,48.19853538972581
FKBP10,-15.62618663980452,37.33292558279281,0.12914103280064293,1.0635942540442347,-121.00094215544112
KLHL10,-118.107321040631,82.65666362982343,-0.26232321018596827,2.354842304018828,450.2358786967475
NOM1,13.880843206487075,35.188054246715446,-0.4482479313998009,1.0024880644514338,-30.96688737221742
ERGIC1,-7.115526069996915,16.882402178470077,0.05735370395557082,0.4809702339470762,-124.06393274110027
TNK1,-53.01622936422844,89.4921551377509,-0.7099815616753098,2.549581649460074,74.67268479357205
ACAP1,9.485969736951468,83.24806698837163,-0.8806483793947376,2.371691056270493,-10.77157462490432
TCEA3,26.961381040821188,106.78685516160643,0.24255593309297108,3.042298019357152,111.15531455784658
